subject,estimator_label,n,mean_estimate,mean_abs_error,median_abs_error,rmse,mean_rel_error,median_rel_error,mean_signed_error,mean_completion
parsere,Beta-Binomial (incidence-based),1,12252.232418320773,219257.76758167922,219257.76758167922,219257.76758167922,0.947076876081721,0.947076876081721,-219257.76758167922,0.05285300850935165
parsere,Chao1 (incidence-based),1,12252.25657370518,219257.74342629482,219257.74342629482,219257.74342629482,0.9470767717433148,0.9470767717433148,-219257.74342629482,0.05285300850935165
parsere,Chao2 (incidence-based),1,12252.232418320773,219257.76758167922,219257.76758167922,219257.76758167922,0.947076876081721,0.947076876081721,-219257.76758167922,0.05285300850935165
parsere,Chao2_bc (incidence-based),1,12252.139199894,219257.860800106,219257.860800106,219257.860800106,0.9470772787357177,0.9470772787357177,-219257.860800106,0.05285300850935165
parsere,Chiu (incidence-based),1,12236.08047808765,219273.91952191235,219273.91952191235,219273.91952191235,0.9471466438681369,0.9471466438681369,-219273.91952191235,0.05285300850935165
parsere,Exponential (hit-count estimator),1,12236.000504124448,219273.99949587556,219273.99949587556,219273.99949587556,0.947146989313099,0.947146989313099,-219273.99949587556,0.05285300850935165
parsere,Exponential (incidence-frequency estimator),1,1.2236e+16,1.223599999976849e+16,1.223599999976849e+16,1.223599999976849e+16,52853008508.35165,52853008508.35165,1.223599999976849e+16,0.05285300850935165
parsere,Gamma (hit-count estimator),1,13600.112007336884,217909.8879926631,217909.8879926631,217909.8879926631,0.9412547535426682,0.9412547535426682,-217909.8879926631,0.05285300850935165
parsere,Gamma (incidence-frequency estimator),1,1.2236e+16,1.223599999976849e+16,1.223599999976849e+16,1.223599999976849e+16,52853008508.35165,52853008508.35165,1.223599999976849e+16,0.05285300850935165
parsere,Gamma-Poisson (incidence-frequency estimator),1,12307.699113403543,219202.30088659647,219202.30088659647,219202.30088659647,0.9468372894760333,0.9468372894760333,-219202.30088659647,0.05285300850935165
parsere,Jackknife1 (incidence-based),1,12437.69985141159,219072.3001485884,219072.3001485884,219072.3001485884,0.9462757554688281,0.9462757554688281,-219072.3001485884,0.05285300850935165
parsere,Lanumteang-Bohning (incidence-based),1,12241.91705118802,219268.082948812,219268.082948812,219268.082948812,0.9471214329783249,0.9471214329783249,-219268.082948812,0.05285300850935165
parsere,Negative Binomial (hit-count estimator),1,13570.692406616476,217939.30759338354,217939.30759338354,217939.30759338354,0.9413818305618916,0.9413818305618916,-217939.30759338354,0.05285300850935165
